АВС/ DEF;От;До;Емкость;Оператор;Регион
700;0000000;9999999;10000000;АО Алтел;Казахстан
701;0000000;9999999;10000000;АО Кселл;Казахстан
702;0000000;9999999;10000000;АО Кселл;Казахстан
705;0000000;9999999;10000000;ТОО КаР-Тел;Казахстан
706;0000000;9999999;10000000;ТОО КаР-Тел;Казахстан
707;0000000;9999999;10000000;ТОО Мобайл Телеком-Сервис;Казахстан
708;0000000;9999999;10000000;АО Алтел;Казахстан
710;2000000;2917999;918000;АО Казахтелеком;г. Жезказган|Карагандинская область|Казахстан
710;2918000;2918999;1000;ТОО Казтехносвязь;г. Жезказган|Карагандинская область|Казахстан
710;2919000;2999999;81000;АО Казахтелеком;г. Жезказган|Карагандинская область|Казахстан
711;2000000;2965999;966000;АО Казахтелеком;г. Уральск|Западно-Казахстанская область|Казахстан
711;2966000;2966999;1000;ТОО Казтехносвязь;г. Уральск|Западно-Казахстанская область|Казахстан
711;2967000;2999999;33000;АО Казахтелеком;г. Уральск|Западно-Казахстанская область|Казахстан
712;2000000;2717999;718000;АО Казахтелеком;г. Атырау|Атырауская область|Казахстан
712;2718000;2718999;1000;ТОО Казтехносвязь;г. Атырау|Атырауская область|Казахстан
712;2719000;2999999;281000;АО Казахтелеком;г. Атырау|Атырауская область|Казахстан
713;2000000;2929999;930000;АО Казахтелеком;г. Актобе|Актюбинская область|Казахстан
713;2930000;2930999;1000;ТОО Казтехносвязь;г. Актобе|Актюбинская область|Казахстан
713;2931000;2999999;69000;АО Казахтелеком;г. Актобе|Актюбинская область|Казахстан
714;2000000;2930999;931000;АО Казахтелеком;г. Костанай|Костанайская область|Казахстан
714;2931000;2931999;1000;ТОО Казтехносвязь;г. Костанай|Костанайская область|Казахстан
714;2932000;2999999;68000;АО Казахтелеком;г. Костанай|Костанайская область|Казахстан
715;2000000;2640999;641000;АО Казахтелеком;г. Петропавловск|Северо-Казахстанская область|Казахстан
715;2641000;2641999;1000;ТОО Казтехносвязь;г. Петропавловск|Северо-Казахстанская область|Казахстан
715;2642000;2999999;358000;АО Казахтелеком;г. Петропавловск|Северо-Казахстанская область|Казахстан
715;3100000;3199999;99999;АО Казахтелеком;Район Магжана Жумабаева|Северо-Казахстанская область|Казахстан
715;3200000;3299999;99999;АО Казахтелеком;Аккайынский район|Северо-Казахстанская область|Казахстан
715;3300000;3399999;99999;АО Казахтелеком;Айыртауский район|Северо-Казахстанская область|Казахстан
715;3400000;3499999;99999;АО Казахтелеком;Район Шал акына|Северо-Казахстанская область|Казахстан
715;3500000;3599999;99999;АО Казахтелеком;Район имени Габита Мусрепова|Северо-Казахстанская область|Казахстан
715;3600000;3699999;99999;АО Казахтелеком;Тайыншинский район|Северо-Казахстанская область|Казахстан
715;3700000;3799999;99999;АО Казахтелеком;Тимирязевский район|Северо-Казахстанская область|Казахстан
715;3800000;3899999;99999;АО Казахтелеком;Кызылжарский район|Северо-Казахстанская область|Казахстан
715;4100000;4199999;99999;АО Казахтелеком;Мамлютский район|Северо-Казахстанская область|Казахстан
715;4200000;4299999;99999;АО Казахтелеком;Уалихановский район|Северо-Казахстанская область|Казахстан
715;4300000;4399999;99999;АО Казахтелеком;Есильский район|Северо-Казахстанская область|Казахстан
715;4400000;4499999;99999;АО Казахтелеком;Жамбылский район|Северо-Казахстанская область|Казахстан
715;4600000;4699999;99999;АО Казахтелеком;Акжарский район|Северо-Казахстанская область|Казахстан
716;2000000;2932999;933000;АО Казахтелеком;г. Кокшетау|Акмолинская область|Казахстан
716;2933000;2933999;1000;ТОО Казтехносвязь;г. Кокшетау|Акмолинская область|Казахстан
716;2934000;2999999;66000;АО Казахтелеком;г. Кокшетау|Акмолинская область|Казахстан
717;2000000;2569999;570000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2570000;2579999;10000;АО Казахтелеком - iDPhone;г. Нур-Султан|Казахстан
717;2580000;2599999;20000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2600000;2609999;10000;АО Транстелеком;г. Нур-Султан|Казахстан
717;2610000;2659999;50000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2660000;2669999;10000;NETRING-Service;г. Нур-Султан|Казахстан
717;2670000;2789999;120000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2790000;2799999;10000;АО Казтранском;г. Нур-Султан|Казахстан
717;2800000;2929999;130000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2930000;2939999;10000;АО Транстелеком;г. Нур-Султан|Казахстан
717;2940000;2949999;10000;АО Транстелеком;г. Нур-Султан|Казахстан
717;2950000;2970999;21000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2971000;2971999;1000;АО Нурсат;г. Нур-Султан|Казахстан
717;2972000;2972999;1000;ТОО Казтехносвязь;г. Нур-Султан|Казахстан
717;2973000;2976999;4000;АО Казахтелеком;г. Нур-Султан|Казахстан
717;2977000;2977999;1000;АО Казтранском;г. Нур-Султан|Казахстан
717;2978000;2978999;1000;АО Мегател;г. Нур-Султан|Казахстан
717;2979000;2999999;21000;АО Казахтелеком;г. Нур-Султан|Казахстан
718;2000000;2790999;791000;АО Казтранском;г. Павлодар|Павлодарская область|Казахстан
718;2791000;2791999;1000;Intertel;Павлодарская область|Казахстан
718;2792000;2791999;114000;АО Казахтелеком;Павлодарская область|Казахстан
718;2906000;2906999;1000;ТОО Казтехносвязь;г. Павлодар|Павлодарская область|Казахстан
718;2907000;2999999;93000;АО Казахтелеком;Павлодарская область|Казахстан
721;2000000;2901999;902000;АО Казтранском;г. Караганда|Карагандинская область|Казахстан
721;2902000;2902999;1000;ТОО Казтехносвязь;г. Караганда|Карагандинская область|Казахстан
721;2903000;2919999;17000;АО Казтранском;г. Караганда|Карагандинская область|Казахстан
721;2920000;2920999;1000;Intertel;Карагандинская область|Казахстан
721;2921000;2921999;1000;Intertel;Карагандинская область|Казахстан
721;2922000;2995999;74000;АО Казтранском;г. Караганда|Карагандинская область|Казахстан
721;2996000;2996999;1000;Intertel;Карагандинская область|Казахстан
721;2997000;2999999;3000;АО Казтранском;г. Караганда|Карагандинская область|Казахстан
722;2000000;2693999;694000;АО Казахтелеком;г. Семей|Восточно-Казахстанская область|Казахстан
722;2694000;2694999;1000;ТОО Казтехносвязь;г. Семей|Восточно-Казахстанская область|Казахстан
722;2695000;2999999;305000;АО Казахтелеком;г. Семей|Восточно-Казахстанская область|Казахстан
723;2000000;2918999;919000;АО Казахтелеком;г. Усть-Каменогорск|Восточно-Казахстанская область|Казахстан
723;2919000;2919999;1000;ТОО Казтехносвязь;г. Усть-Каменогорск|Восточно-Казахстанская область|Казахстан
723;2920000;2999999;80000;АО Казахтелеком;г. Усть-Каменогорск|Восточно-Казахстанская область|Казахстан
724;2000000;2907999;908000;АО Казахтелеком;г. Кызылорда|Кызылординская область|Казахстан
724;2908000;2908999;1000;ТОО Казтехносвязь;г. Кызылорда|Кызылординская область|Казахстан
724;2909000;2999999;91000;АО Казахтелеком;г. Кызылорда|Кызылординская область|Казахстан
725;2000000;2972999;973000;АО Казахтелеком;г. Шымкент|Южно-Казахстанская область|Казахстан
725;2973000;2973999;1000;ТОО Казтехносвязь;г. Шымкент|Южно-Казахстанская область|Казахстан
725;2974000;2999999;26000;АО Казахтелеком;г. Шымкент|Южно-Казахстанская область|Казахстан
726;2000000;2935999;936000;АО Казахтелеком;г. Тараз|Жамбылская область|Казахстан
726;2936000;2936999;1000;ТОО Казтехносвязь;г. Тараз|Жамбылская область|Казахстан
726;2937000;2999999;63000;АО Казахтелеком;г. Тараз|Жамбылская область|Казахстан
727;2000000;2370999;371000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;2371000;2371999;1000;Nursat Excord;г. Алматы|Алматинская область|Казахстан
727;2372000;2439999;68000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;2440000;2449999;10000;Kazakhstan Online J-Run;г. Алматы|Алматинская область|Казахстан
727;2450000;2579999;130000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;2580000;2589999;10000;Kazakhstan Online J-Run;г. Алматы|Алматинская область|Казахстан
727;2590000;2599999;10000;Kazakhstan Online J-Run;г. Алматы|Алматинская область|Казахстан
727;2600000;2779999;180000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;2780000;2789999;10000;Алматытелеком;г. Алматы|Алматинская область|Казахстан
727;2790000;2999999;210000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3000000;3099999;100000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3100000;3109999;10000;ТОО Казтехносвязь;г. Алматы|Алматинская область|Казахстан
727;3110000;3169999;60000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3170000;3179999;10000;АО Алтел;г. Алматы|Алматинская область|Казахстан
727;3180000;3259999;80000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3260000;2370999;10000;NETRING-Service;г. Алматы|Алматинская область|Казахстан
727;3270000;3279999;10000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3280000;3289999;10000;АО Алтел;г. Алматы|Алматинская область|Казахстан
727;3290000;3299999;10000;АО Алтел;г. Алматы|Алматинская область|Казахстан
727;3300000;3434999;135000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3435000;3435999;1000;Мегател;г. Алматы|Алматинская область|Казахстан
727;3436000;3469999;34000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3470000;3479999;10000;ТОО Казтехносвязь;г. Алматы|Алматинская область|Казахстан
727;3480000;3539999;60000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3540000;3549999;10000;АО Алтел;г. Алматы|Алматинская область|Казахстан
727;3550000;3559999;10000;ТОО SMARTNET;г. Алматы|Алматинская область|Казахстан
727;3560000;3569999;10000;ТОО SMARTNET;г. Алматы|Алматинская область|Казахстан
727;3570000;3859999;290000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;3860000;3869999;10000;Институт Ядерной Физики;пос. Алатау|Алматинская область|Казахстан
727;3870000;3999999;130000;АО Казахтелеком;г. Алматы|Алматинская область|Казахстан
727;4010000;4010999;1000;АО Казахтелеком;село Кольжат|Уйгурский район|Алматинская область|Казахстан
727;4023000;4023999;1000;АО Казахтелеком;село Жаланаш|Райымбекский район|Алматинская область|Казахстан
727;4033000;4033999;1000;АО Казахтелеком;Ойкарагай|Райымбекский район|Алматинская область|Казахстан
727;4050000;4059999;10000;АО Казахтелеком;село Улькен|Жамбылский район|Алматинская область|Казахстан
727;5100000;5199999;100000;Satel;Казахстан
727;5200000;5299999;100000;АО Казахтелеком;Илийский район|Алматинская область|Казахстан
727;5700000;5799999;100000;АО Казахтелеком;Илийский район|Алматинская область|Казахстан
727;5810000;5819999;10000;Kazakhstan Online J-Run;Казахстан
727;7000000;7099999;100000;АО Казахтелеком;Жамбылский район|Алматинская область|Казахстан
727;7100000;7199999;100000;АО Казахтелеком;Карасайский район|Алматинская область|Казахстан
727;7200000;7299999;100000;АО Казахтелеком;г. Капшагай|Алматинская область|Казахстан
727;7300000;7399999;100000;АО Казахтелеком;Балхашский район|Алматинская область|Казахстан
727;7400000;7499999;100000;АО Казахтелеком;Талгарский район|Алматинская область|Казахстан
727;7500000;7599999;100000;АО Казахтелеком;Енбекшиказахский район|Алматинская область|Казахстан
727;7600000;7699999;100000;АО Казахтелеком;Енбекшиказахский район|Алматинская область|Казахстан
727;7700000;7799999;100000;АО Казахтелеком;Райымбекский район|Алматинская область|Казахстан
727;7800000;7899999;100000;АО Казахтелеком;Уйгурский район|Алматинская область|Казахстан
727;7900000;7999999;100000;АО Казахтелеком;Райымбекский район|Алматинская область|Казахстан
727;9000000;9099999;100000;Kazakhstan Online Ulan;Алматинская область|Казахстан
727;9100000;9199999;100000;Kazakhstan Online Ulan;Алматинская область|Казахстан
727;9720000;9729999;10000;АО Алтел;Алматинская область|Казахстан
727;9900000;9999999;100000;Kazakhstan Online Kulan;Алматинская область|Казахстан
728;2000000;2389999;390000;АО Казахтелеком;Талдыкорган|Алматинская область|Казахстан
728;2390000;2399999;10000;АО Казахтелеком;Талдыкорган|Алматинская область|Казахстан
728;2400000;2629999;230000;АО Казахтелеком;Талдыкорган|Алматинская область|Казахстан
728;2630000;2630999;1000;ТОО Казтехносвязь;Талдыкорган|Алматинская область|Казахстан
728;2631000;2999999;369000;АО Казахтелеком;Талдыкорган|Алматинская область|Казахстан
728;3010000;3019999;10000;АО Казахтелеком;посёлок Достык|Алакольский район|Казахстан
728;3015000;3015999;1000;АО Казахтелеком;село Егинсу|Аксуский район|Казахстан
728;3016000;3016999;1000;АО Казахтелеком;село Кураксу|Аксуский район|Казахстан
728;3020000;3026999;7000;АО Казахтелеком;село Акжар|Каратальский район|Казахстан
728;3027000;3027999;1000;АО Казахтелеком;село Токжайлау|Алакольский район|Казахстан
728;3028000;3029999;2000;АО Казахтелеком;село Акжар|Каратальский район|Казахстан
728;3030000;3039999;10000;АО Казахтелеком;село Копбирлик|Каратальский район|Казахстан
728;3049000;3049999;1000;АО Казахтелеком;село Алмалы|Каратальский район|Казахстан
728;3050000;3059999;10000;АО Казахтелеком;село Камыскала|Алакольский район|Казахстан
728;3060000;3069999;10000;АО Казахтелеком;село Акши|Алакольский район|Казахстан
728;3070000;3079999;10000;АО Казахтелеком;село Каракум|Каратальский район|Казахстан
728;3100000;3199999;100000;АО Казахтелеком;Панфиловский район|Казахстан
728;3200000;3299999;100000;АО Казахтелеком;Аксуский район|Казахстан
728;3300000;3399999;100000;АО Казахтелеком;Алакольский район|Казахстан
728;3400000;3499999;100000;АО Казахтелеком;Каратальский район|Казахстан
728;3500000;3599999;100000;АО Казахтелеком;Текели|Алматинская область|Казахстан
728;3600000;3699999;100000;АО Казахтелеком;Ескельдинский район|Казахстан
728;3700000;3799999;100000;АО Казахтелеком;Алакольский район|Казахстан
728;3800000;3899999;100000;АО Казахтелеком;Коксуский район|Казахстан
728;3900000;3999999;100000;АО Казахтелеком;Саркандский район|Казахстан
728;4000000;4099999;100000;АО Казахтелеком;Кербулакский район|Казахстан
728;4100000;4199999;100000;АО Казахтелеком;Аксуский район|Казахстан
728;4200000;4299999;100000;АО Казахтелеком;Кербулакский район|Казахстан
728;4300000;4399999;100000;АО Казахтелеком;Саркандский район|Казахстан
729;2000000;2787999;788000;АО Казахтелеком;г. Актау|Мангистауская область|Казахстан
729;2788000;2788999;1000;ТОО Казтехносвязь;г. Актау|Мангистауская область|Казахстан
729;2789000;2999999;211000;АО Казахтелеком;г. Актау|Мангистауская область|Казахстан
729;3100000;3199999;100000;АО Казахтелеком;Мангистауский район|Казахстан
729;3200000;3299999;100000;АО Казахтелеком;Бейнеуский район|Казахстан
729;3400000;3499999;100000;АО Казахтелеком;Жанаозен|Казахстан
729;3500000;3599999;100000;АО Казахтелеком;Каракиянский район|Казахстан
729;3700000;3799999;100000;АО Казахтелеком;Каракиянский район|Казахстан
729;3800000;3899999;100000;АО Казахтелеком;Тупкараганский район|Казахстан
736;2200000;2299999;100000;АО Казахтелеком;Байконур|Кызылординская область|Казахстан
747;0000000;9999999;10000000;ТОО Мобайл Телеком-Сервис;Казахстан
750;0000000;9999999;10000000;АО Казахтелеком;Казахстан
751;0000000;9999999;10000000;АО Казахтелеком;Казахстан
760;0000000;9999999;10000000;АО Казахтелеком;Казахстан
761;0000000;9999999;10000000;АО Казахтелеком;Казахстан
762;0000000;9999999;10000000;АО Нурсат;Казахстан
763;0000000;9999999;10000000;АО Арна;Казахстан
764;0000000;9999999;10000000;АО 2 Day Telecom;Казахстан
771;0000000;9999999;10000000;ТОО КаР-Тел;Казахстан
775;0000000;9999999;10000000;АО Кселл;Казахстан
776;0000000;9999999;10000000;ТОО КаР-Тел;Казахстан
777;0000000;9999999;10000000;ТОО КаР-Тел;Казахстан
778;0000000;9999999;10000000;АО Кселл;Казахстан